"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"N14","PB11","I/O","","","","TIM2_CH4","","LPTIM2_ETR","I2C2_SDA","","","USART3_RX","","","","ETH_MII_TX_EN/ETH_RMII_TX_EN","FMC_D10/FMC_DA10","","","EVENTOUT"
"N15","PB13","I/O","","","","TIM1_CH1N","","LPTIM2_CH1","","I2S2_CK/SPI2_SCK","SDMMC1_D0","USART3_CTS/USART3_NSS","PSSI_D2","FDCAN2_TX","","ETH_MII_RXD3","FMC_D8/FMC_DA8","DCMIPP_D2","UART5_TX","EVENTOUT"
"P1","PA6","I/O","","","PWR_CSLEEP","TIM1_BKIN","TIM3_CH1","LPTIM3_ETR","","I2S1_SDI/SPI1_MISO","PSSI_PDCK","","I2S6_SDI/SPI6_MISO","TIM13_CH1","","MDIOS_MDC","","DCMIPP_PIXCLK","","EVENTOUT"
"P2","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM9_CH1","","I2S1_CK/SPI1_SCK","","","UART4_CTS","","","ETH_MII_TXD0/ETH_RMII_TXD0","GFXTIM_TE","","","EVENTOUT"
"P3","PF13","I/O","","","","","","","USART1_TX","SPI5_NSS","","","","PSSI_D10","","","FMC_D20","DCMIPP_D10","","EVENTOUT"
"P4","PF14","I/O","","","","","","","USART1_CTS","SPI5_MOSI","","","","","","","FMC_A24","","","EVENTOUT"
"P5","PE9","I/O","","","","TIM1_CH1","","","","","","UART7_DE/UART7_RTS","","","","","FMC_A14","","FMC_BA0","EVENTOUT"
"P6","PG5","I/O","","","","TIM1_ETR","","","","","","","","","","ETH_MII_RXD1/ETH_RMII_RXD1","FMC_D23","","","EVENTOUT"
"P7","PG8","I/O","","","","","","","","I2S6_WS/SPI6_NSS","","","SPDIFRX_IN2","","","ETH_PPS_OUT","FMC_D25","","","EVENTOUT"
"P8","PO1","I/O","","","","","","","","","","","","XSPIM_P1_NCS2","","","","","",""
"P9","VSS","Power","","","","","","","","","","","","","","","","","",""
"P10","PP5","I/O","","","","","","","","","","","","XSPIM_P1_IO5","","","","","",""
"P11","PO2","I/O","","","","","","","","","","","","XSPIM_P1_DQS0","","","","","",""
"P12","PP1","I/O","","","","","","","","","","","","XSPIM_P1_IO1","","","","","",""
"P13","PD9","I/O","","","","","","","","","","USART3_RX","","","","","FMC_SDCLK","","","EVENTOUT"
"P14","PD13","I/O","","","","LPTIM1_CH1","TIM4_CH2","","","","UCPD1_FRSTX2","","SAI2_SCK_A","PSSI_D13","FMC_INT","","","DCMIPP_D13","","EVENTOUT"
"P15","PB10","I/O","","","","TIM2_CH3","","LPTIM2_IN1","I2C2_SCL","I2S2_CK/SPI2_SCK","","USART3_TX","","","","ETH_MII_RX_ER","FMC_D11/FMC_DA11","","","EVENTOUT"
"R1","VSS","Power","","","","","","","","","","","","","","","","","",""
"R2","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM9_CH2","","","","","","FDCAN2_TX","","ETH_MII_TXD1/ETH_RMII_TXD1","FMC_NOE","","","EVENTOUT"
"R3","PF12","I/O","","","","","","","USART1_RX","SPI5_MISO","","","","","","","FMC_D19","","","EVENTOUT"
"R4","PE8","I/O","","","","TIM1_CH1N","","","","","","UART7_TX","","","","","FMC_A12","","","EVENTOUT"
"R5","PE10","I/O","","","","TIM1_CH2N","","","","","","UART7_CTS","","","","","FMC_A15","","FMC_BA1","EVENTOUT"
"R6","VSS","Power","","","","","","","","","","","","","","","","","",""
"R7","PG9","I/O","","","","","","","","I2S1_SDI/SPI1_MISO","","","SPDIFRX_IN3","PSSI_RDY","SAI2_FS_B","SDMMC2_D0","FMC_D26","DCMIPP_VSYNC","","EVENTOUT"
"R8","PP4","I/O","","","","","","","","","","","","XSPIM_P1_IO4","","","","","",""
"R9","PO5","I/O","","","","","","","","","","","","XSPIM_P1_NCLK","","","","","",""
"R10","PO4","I/O","","","","","","","","","","","","XSPIM_P1_CLK","","","","","",""
"R11","PP6","I/O","","","","","","","","","","","","XSPIM_P1_IO6","","","","","",""
"R12","VSS","Power","","","","","","","","","","","","","","","","","",""
"R13","PG10","I/O","","","","","","","","I2S1_WS/SPI1_NSS","","","","PSSI_D2","SAI2_SD_B","SDMMC2_D1","FMC_D27","DCMIPP_D2","","EVENTOUT"
"R14","PD10","I/O","","","","TIM1_CH4","","","","DCMIPP_D4","SPI4_RDY","USART3_CK","PSSI_D4","SPI5_RDY","SPI1_RDY","","FMC_CLK","","","EVENTOUT"
"R15","VSS","Power","","","","","","","","","","","","","","","","","",""
