#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415B99EB7
#Date Time: 2026-04-22 16:59:15.766.158.250
#Sample rate: 606.815Hz
#Samples: 16000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 600 mV Hyst.: Auto HoldOff: 0 s
#Math 1: Function: C1 / 1.2


#Everything except VN-100.
Time (s),Math 1 (A)
-13.1836,0.0009129657172961391
-13.18195205,0.001662579222564039
-13.1803041,0.001662579222564039
-13.17865615,0.001662579222564039
-13.1770082,0.003161806233098474
-13.17536025,0.005410646748901608
-13.1737123,0.006160260254168826
-13.17206435,0.006909873759436044
-13.1704164,0.006909873759436044
-13.16876845,0.00466103324363291
-13.1671205,0.00466103324363291
-13.16547255,0.00466103324363291
-13.1638246,0.003911419738365693
-13.16217665,0.002412192727831257
-13.1605287,0.003161806233099838
-13.15888075,0.00466103324363291
-13.1572328,0.003911419738365693
-13.15558485,0.004661033243632228
-13.1539369,0.003911419738365693
-13.15228895,0.003911419738365693
-13.150641,0.003911419738365693
-13.14899305,0.00466103324363291
-13.1473451,0.00466103324363291
-13.14569715,0.003911419738365693
-13.1440492,0.003161806233098474
-13.14240125,0.00466103324363291
-13.1407533,0.005410646748901608
-13.13910535,0.003161806233098474
-13.1374574,0.003161806233098474
-13.13580945,0.001662579222564039
-13.1341615,0.001662579222564039
-13.13251355,0.003911419738365693
-13.1308656,0.005410646748901608
-13.12921765,0.003161806233098474
-13.1275697,0.003161806233101201
-13.12592175,0.006160260254168826
-13.1242738,0.003911419738365693
-13.12262585,0.003911419738365693
-13.1209779,0.003911419738365693
-13.11932995,0.001662579222564039
-13.117682,0.002412192727830575
-13.11603405,0.00466103324363291
-13.1143861,0.005410646748901608
-13.11273815,0.004661033243633592
-13.1110902,0.001662579222564039
-13.10944225,0.00466103324363291
-13.1077943,0.007659487264703261
-13.10614635,0.005410646748901608
-13.1044984,0.002412192727831257
-13.10285045,0.002412192727831257
-13.1012025,0.002412192727831257
-13.09955455,0.003161806233098474
-13.0979066,0.00466103324363291
-13.09625865,0.006160260254168826
-13.0946107,0.007659487264703261
-13.09296275,0.00466103324363291
-13.0913148,0.005410646748901608
-13.08966685,0.005410646748899563
-13.0880189,0.003161806233098474
-13.08637095,0.002412192727831257
-13.084723,0.003911419738367056
-13.08307505,0.005410646748901608
-13.0814271,0.006909873759436044
-13.07977915,0.004661033243634955
-13.0781312,0.006160260254168826
-13.07648325,0.00466103324363291
-13.0748353,0.00466103324363291
-13.07318735,0.00466103324363291
-13.0715394,0.002412192727831257
-13.06989145,0.002412192727831257
-13.0682435,0.00466103324363291
-13.06659555,0.003161806233098474
-13.0649476,0.006909873759436044
-13.06329965,0.006160260254168826
-13.0616517,0.005410646748901608
-13.06000375,0.001662579222564039
-13.0583558,0.00466103324363291
-13.05670785,0.003911419738364329
-13.0550599,0.002412192727831257
-13.05341195,0.001662579222564039
-13.051764,0.0001633522120281228
-13.05011605,0.0001633522120281228
-13.0484681,0.005410646748901608
-13.04682015,0.005410646748901608
-13.0451722,0.005410646748901608
-13.04352425,0.00466103324363291
-13.0418763,0.006160260254167462
-13.04022835,0.005410646748901608
-13.0385804,0.001662579222564039
-13.03693245,0.001662579222564039
-13.0352845,0.0001633522120281228
-13.03363655,0.0009129657172968209
-13.0319886,0.001662579222564039
-13.03034065,0.003161806233098474
-13.0286927,0.003911419738365693
-13.02704475,0.00466103324363291
-13.0253968,0.00466103324363291
-13.02374885,0.006909873759436044
-13.0221009,0.006909873759436044
-13.02045295,0.00466103324363291
-13.018805,0.003911419738363647
-13.01715705,0.001662579222564039
-13.0155091,0.003161806233098474
-13.01386115,0.006160260254168144
-13.0122132,0.005410646748901608
-13.01056525,0.00466103324363291
-13.0089173,0.007659487264700534
-13.00726935,0.008409100769970479
-13.0056214,0.006160260254168826
-13.00397345,0.00466103324363291
-13.0023255,0.001662579222564039
-13.00067755,0.001662579222564039
-12.9990296,0.005410646748901608
-12.99738165,0.006160260254168826
-12.9957337,0.003911419738365693
-12.99408575,0.003911419738365693
-12.9924378,0.006909873759436044
-12.99078985,0.006909873759436044
-12.9891419,0.003911419738365693
-12.98749395,0.003161806233098474
-12.985846,0.003161806233099156
-12.98419805,0.003911419738365693
-12.9825501,0.00466103324363291
-12.98090215,0.003161806233101883
-12.9792542,0.006909873759436044
-12.97760625,0.006160260254168826
-12.9759583,0.007659487264701898
-12.97431035,0.006909873759436044
-12.9726624,0.006160260254168826
-12.97101445,0.007659487264701898
-12.9693665,0.003161806233098474
-12.96771855,0.003161806233098474
-12.9660706,0.005410646748901608
-12.96442265,0.005410646748901608
-12.9627747,0.006160260254168826
-12.96112675,0.005410646748901608
-12.9594788,0.006160260254168826
-12.95783085,0.008409100769970479
-12.9561829,0.003161806233098474
-12.95453495,0.002412192727831257
-12.952887,0.0009129657172968209
-12.95123905,0.0001633522120281228
-12.9495911,0.002412192727831257
-12.94794315,0.002412192727833984
-12.9462952,0.005410646748901608
-12.94464725,0.00466103324363291
-12.9429993,0.002412192727835347
-12.94135135,0.006909873759436044
-12.9397034,0.006909873759436044
-12.93805545,0.004661033243634955
-12.9364075,0.003161806233098474
-12.93475955,0.002412192727831257
-12.9331116,0.001662579222564039
-12.93146365,0.003911419738365693
-12.9298157,0.00466103324363291
-12.92816775,0.003911419738365693
-12.9265198,0.006909873759436044
-12.92487185,0.005410646748901608
-12.9232239,0.00466103324363291
-12.92157595,0.002412192727831257
-12.919928,0.00466103324363291
-12.91828005,0.003911419738365693
-12.9166321,0.001662579222564039
-12.91498415,0.003911419738365693
-12.9133362,0.005410646748901608
-12.91168825,0.005410646748901608
-12.9100403,0.003161806233099838
-12.90839235,0.00466103324363291
-12.9067444,0.006909873759436044
-12.90509645,0.003161806233101883
-12.9034485,0.002412192727831257
-12.90180055,0.0009129657172968209
-12.9001526,0.001662579222563357
-12.89850465,0.005410646748901608
-12.8968567,0.006160260254168826
-12.89520875,0.003911419738365693
-12.8935608,0.003911419738365693
-12.89191285,0.005410646748901608
-12.8902649,0.006160260254168826
-12.88861695,0.002412192727831257
-12.886969,0.003911419738365693
-12.88532105,0.002412192727831257
-12.8836731,0.002412192727831257
-12.88202515,0.006160260254168826
-12.8803772,0.006160260254168826
-12.87872925,0.003161806233098474
-12.8770813,0.003161806233101883
-12.87543335,0.006909873759436044
-12.8737854,0.006909873759436044
-12.87213745,0.001662579222566766
-12.8704895,0.00466103324363291
-12.86884155,0.003911419738365693
-12.8671936,0.004661033243632228
-12.86554565,0.003911419738365693
-12.8638977,0.00466103324363291
-12.86224975,0.006160260254168826
-12.8606018,0.006160260254168826
-12.85895385,0.005410646748901608
-12.8573059,0.003911419738365693
-12.85565795,0.003161806233098474
-12.85401,0.005410646748901608
-12.85236205,0.003161806233098474
-12.8507141,0.0001633522120281228
-12.84906615,0.006160260254168826
-12.8474182,0.005410646748901608
-12.84577025,0.006160260254168826
-12.8441223,0.006909873759436044
-12.84247435,0.009158714275239177
-12.8408264,0.009158714275239177
-12.83917845,0.005410646748898199
-12.8375305,0.001662579222564039
-12.83588255,0.001662579222564039
-12.8342346,0.001662579222564039
-12.83258665,0.002412192727831257
-12.8309387,0.003161806233098474
-12.82929075,0.003911419738365011
-12.8276428,0.003911419738365693
-12.82599485,0.00466103324363291
-12.8243469,0.003911419738365693
-12.82269895,0.002412192727831257
-12.821051,0.003911419738365693
-12.81940305,0.003161806233098474
-12.8177551,0.00466103324363291
-12.81610715,0.006160260254168826
-12.8144592,0.008409100769970479
-12.81281125,0.007659487264703261
-12.8111633,0.005410646748901608
-12.80951535,0.003911419738365693
-12.8078674,0.005410646748901608
-12.80621945,0.005410646748900245
-12.8045715,0.003911419738365693
-12.80292355,0.00466103324363291
-12.8012756,0.004661033243634274
-12.79962765,0.006160260254168826
-12.7979797,0.00466103324363291
-12.79633175,0.003161806233099838
-12.7946838,0.00466103324363291
-12.79303585,0.006160260254168826
-12.7913879,0.005410646748901608
-12.78973995,0.003161806233098474
-12.788092,0.00466103324363291
-12.78644405,0.003161806233098474
-12.7847961,0.003911419738365693
-12.78314815,0.003911419738365693
-12.7815002,0.005410646748901608
-12.77985225,0.005410646748901608
-12.7782043,0.005410646748901608
-12.77655635,0.003911419738365693
-12.7749084,0.005410646748901608
-12.77326045,0.003161806233098474
-12.7716125,0.003161806233098474
-12.76996455,0.003161806233098474
-12.7683166,0.003161806233096429
-12.76666865,0.0009129657172968209
-12.7650207,0.003161806233098474
-12.76337275,0.002412192727831938
-12.7617248,0.003161806233098474
-12.76007685,0.003911419738365693
-12.7584289,0.007659487264699853
-12.75678095,0.007659487264703261
-12.755133,0.005410646748901608
-12.75348505,0.003161806233098474
-12.7518371,0.001662579222564039
-12.75018915,0.0009129657172968209
-12.7485412,0.006909873759436044
-12.74689325,0.005410646748901608
-12.7452453,0.007659487264703261
-12.74359735,0.006909873759436044
-12.7419494,0.006160260254168826
-12.74030145,0.00466103324363291
-12.7386535,0.001662579222564039
-12.73700555,0.002412192727831257
-12.7353576,0.0009129657172975026
-12.73370965,0.001662579222564039
-12.7320617,0.005410646748901608
-12.73041375,0.006160260254167462
-12.7287658,0.00466103324363291
-12.72711785,0.002412192727831257
-12.7254699,0.003161806233097792
-12.72382195,0.003911419738365693
-12.722174,0.00466103324363291
-12.72052605,0.002412192727831257
-12.7188781,0.0001633522120281228
-12.71723015,0.002412192727831257
-12.7155822,0.002412192727831257
-12.71393425,0.002412192727831257
-12.7122863,0.001662579222564039
-12.71063835,0.005410646748901608
-12.7089904,0.006160260254168826
-12.70734245,0.00466103324363291
-12.7056945,0.003161806233098474
-12.70404655,0.005410646748901608
-12.7023986,0.0009129657172968209
-12.70075065,0.0001633522120281228
-12.6991027,0.005410646748901608
-12.69745475,0.006160260254168826
-12.6958068,0.006160260254168826
-12.69415885,0.006160260254168826
-12.6925109,0.003161806233101201
-12.69086295,0.007659487264703261
-12.689215,0.003911419738365693
-12.68756705,0.004661033243632228
-12.6859191,0.002412192727831257
-12.68427115,0.003911419738365693
-12.6826232,0.003911419738365693
-12.68097525,0.005410646748901608
-12.6793273,0.003161806233098474
-12.67767935,0.003911419738365693
-12.6760314,0.00466103324363291
-12.67438345,0.005410646748901608
-12.6727355,0.005410646748901608
-12.67108755,0.003911419738365693
-12.6694396,0.002412192727831257
-12.66779165,0.0009129657172968209
